"estacao_id";"nome";"acumulado_24h";"acumulado_96h";"x";"y";"cota"
"1";"Vidigal";7.8;12.4;681108.797;7456219.4286;85
"2";"Urca";2;3;687966.0055;7460196.6699;90
"3";"Rocinha";16.8;30.6;679893.5343;7456972.7375;160
"4";"Tijuca";3.6;5.8;682357.746;7462911.517;340
"5";"Santa Teresa";0.8;1.2;684951.0311;7462909.8255;170
"6";"Copacabana";4.8;7.6;685589.1663;7456841.4864;90
"7";"Grajaú";5.6;10.8;677669.802;7464043.9855;80
"8";"Ilha do Governador";15.6;23.8;683679.1645;7475507.9457;0
"10";"Madureira";8.8;20;670408.2935;7469542.1087;45
"11";"Irajá";5.2;8.2;670666.2927;7474676.6363;20
"12";"Bangu";4;6;657375.6096;7468913.7678;15
"13";"Piedade";4.8;8.8;673344.0113;7467461.0294;50
"14";"Jacarepaguá/Tanque";11.6;25.4;667709.7925;7465234.4619;73
"15";"Saúde";1.6;2.4;685874.5189;7466842.423;15
"16";"Jardim Botânico";10.8;16.4;682075.3585;7458391.7986;0
"17";"Barra/Itanhangá";12.8;27;674261.4506;7454529.506;7
"19";"Barra/Rio Centro";17;42;663487.1343;7457662.8585;0
"20";"Guaratiba";3;6.8;643971.9223;7450222.8486;0
"21";"Estrada Grajaú/Jacarepaguá";7.6;13.8;672708.2552;7463731.7255;105
"22";"Santa Cruz";0.4;1;634918.688;7465902.1141;15
"23";"Grande Méier";8.4;14.2;676627.6551;7467562.5296;25
"24";"Anchieta";36;83.2;663851.961;7474751.8584;50
"25";"Grota Funda";4.4;9;651525.8455;7454117.2103;11
"26";"Campo Grande";0;0;647489.8889;7466430.0704;30
"28";"Alto da Boa Vista";14;23.8;676502.3528;7459227.9231;355
"29";"Av. Brasil/Mendanha";0.8;1.2;649677.7399;7471576.4978;30
"30";"Recreio dos Bandeirantes";7.2;14.4;659815.8141;7454522.9516;10
"31";"Laranjeiras";2;3;685850.7276;7461914.1524;60
"32";"São Cristóvão";2.8;4.6;682404.9599;7466817.1734;25
"33";"Tijuca/Muda";0;0;680135.0322;7462845.2113;31
